"ID","Gene"
1,"AKT1"
158,"AKT1"
88,"ALK_Col1"
132,"ALK_Col1"
18,"ALK_Col2"
62,"ALK_Col2"
6,"APC"
17,"APC"
38,"APC"
49,"APC"
55,"APC"
73,"APC"
87,"APC"
100,"APC"
103,"APC"
107,"APC"
108,"APC"
120,"APC"
127,"APC"
134,"APC"
149,"APC"
156,"APC"
162,"APC"
163,"APC"
164,"APC"
53,"ATM_Col1"
67,"ATM_Col1"
94,"ATM_Col1"
173,"ATM_Col1"
173,"ATM_Col2"
133,"BRAF"
1,"CCND2"
94,"CCND2"
4,"CDKN2A"
9,"CDKN2A"
11,"CDKN2A"
14,"CDKN2A"
21,"CDKN2A"
23,"CDKN2A"
32,"CDKN2A"
35,"CDKN2A"
37,"CDKN2A"
41,"CDKN2A"
43,"CDKN2A"
48,"CDKN2A"
51,"CDKN2A"
52,"CDKN2A"
56,"CDKN2A"
71,"CDKN2A"
74,"CDKN2A"
78,"CDKN2A"
81,"CDKN2A"
91,"CDKN2A"
92,"CDKN2A"
95,"CDKN2A"
97,"CDKN2A"
105,"CDKN2A"
112,"CDKN2A"
115,"CDKN2A"
118,"CDKN2A"
119,"CDKN2A"
121,"CDKN2A"
135,"CDKN2A"
138,"CDKN2A"
141,"CDKN2A"
145,"CDKN2A"
146,"CDKN2A"
148,"CDKN2A"
157,"CDKN2A"
159,"CDKN2A"
160,"CDKN2A"
170,"CDKN2A"
172,"CDKN2A"
179,"CDKN2A"
181,"CDKN2A"
188,"CDKN2A"
189,"CDKN2A"
190,"CDKN2A"
28,"CTNNB1"
33,"CTNNB1"
93,"CTNNB1"
173,"CTNNB1"
14,"DNMT3A"
56,"DNMT3A"
176,"DNMT3A"
1,"EGFR"
28,"EGFR"
47,"EGFR"
133,"EGFR"
158,"EGFR"
169,"EGFR"
59,"ERBB3"
62,"ERBB4"
161,"ERBB4"
178,"ESR1"
11,"FBXW7"
35,"FBXW7"
97,"FBXW7"
99,"FBXW7"
105,"FBXW7"
122,"FBXW7"
141,"FBXW7"
189,"FBXW7"
14,"FGFR1"
25,"FGFR1"
36,"FGFR1"
159,"FGFR1"
1,"FGFR3"
158,"FGFR3"
169,"FLT4"
173,"FLT4"
133,"FOXL2"
158,"FOXL2"
7,"GNAS"
34,"GNAS"
52,"GNAS"
70,"GNAS"
135,"GNAS"
154,"GNAS"
184,"GNAS"
136,"HNF1A"
1,"KRAS_Col1"
5,"KRAS_Col1"
12,"KRAS_Col1"
16,"KRAS_Col1"
22,"KRAS_Col1"
23,"KRAS_Col1"
29,"KRAS_Col1"
31,"KRAS_Col1"
34,"KRAS_Col1"
37,"KRAS_Col1"
38,"KRAS_Col1"
44,"KRAS_Col1"
47,"KRAS_Col1"
48,"KRAS_Col1"
50,"KRAS_Col1"
52,"KRAS_Col1"
54,"KRAS_Col1"
55,"KRAS_Col1"
57,"KRAS_Col1"
58,"KRAS_Col1"
59,"KRAS_Col1"
61,"KRAS_Col1"
63,"KRAS_Col1"
65,"KRAS_Col1"
77,"KRAS_Col1"
82,"KRAS_Col1"
83,"KRAS_Col1"
84,"KRAS_Col1"
88,"KRAS_Col1"
94,"KRAS_Col1"
106,"KRAS_Col1"
117,"KRAS_Col1"
118,"KRAS_Col1"
123,"KRAS_Col1"
125,"KRAS_Col1"
127,"KRAS_Col1"
130,"KRAS_Col1"
133,"KRAS_Col1"
134,"KRAS_Col1"
137,"KRAS_Col1"
141,"KRAS_Col1"
144,"KRAS_Col1"
149,"KRAS_Col1"
155,"KRAS_Col1"
157,"KRAS_Col1"
162,"KRAS_Col1"
163,"KRAS_Col1"
164,"KRAS_Col1"
165,"KRAS_Col1"
168,"KRAS_Col1"
173,"KRAS_Col1"
174,"KRAS_Col1"
179,"KRAS_Col1"
182,"KRAS_Col1"
187,"KRAS_Col1"
178,"KRAS_Col2"
18,"MAP2K2"
4,"MET"
13,"MET"
23,"MET"
27,"MET"
59,"MET"
80,"MET"
153,"MET"
170,"MET"
188,"MET"
132,"MLH_Col2"
6,"MSH2"
12,"MSH2"
15,"MSH2"
20,"MSH2"
38,"MSH2"
57,"MSH2"
69,"MSH2"
72,"MSH2"
73,"MSH2"
83,"MSH2"
108,"MSH2"
111,"MSH2"
117,"MSH2"
120,"MSH2"
134,"MSH2"
140,"MSH2"
149,"MSH2"
150,"MSH2"
155,"MSH2"
156,"MSH2"
162,"MSH2"
163,"MSH2"
164,"MSH2"
165,"MSH2"
168,"MSH2"
174,"MSH2"
177,"MSH2"
180,"MSH2"
185,"MSH2"
187,"MSH2"
66,"MSH6"
70,"MSH6"
86,"MSH6"
96,"MSH6"
97,"MSH6"
124,"MSH6"
146,"MSH6"
22,"NF_Col1"
34,"NF_Col1"
86,"NF_Col1"
119,"NF_Col1"
121,"NF_Col1"
43,"NF_Col2"
54,"NF_Col2"
60,"NF_Col2"
